date,ppd
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,0.0
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.5
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,0.0
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,0.0
2019-10-26,0.0
2019-10-27,0.0
2019-10-28,0.0
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,0.0
2019-11-02,-887.9
2019-11-03,0.0
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.0
2019-11-07,0.0
2019-11-08,0.0
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-16,0.0
2019-11-17,0.0
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,T
2019-11-28,0.0
2019-11-29,0.0
2019-11-30,0.0
2019-12-01,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,0.0
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.8
2019-12-13,-883.4
2019-12-14,-886.5
2019-12-15,0.5
2019-12-16,0.0
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,4.4
2019-12-20,1.2
2019-12-21,0.0
2019-12-22,0.0
2019-12-23,0.5
2019-12-24,0.0
2019-12-25,1.5
2019-12-26,0.0
2019-12-27,0.0
2019-12-28,T
2019-12-29,0.0
2019-12-30,0.0
2019-12-31,0.0
2020-01-01,T
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,3.7
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,1.7
2020-01-13,1.6
2020-01-14,3.6
2020-01-15,T
2020-01-16,4.0
2020-01-17,1.5
2020-01-18,0.0
2020-01-19,1.0
2020-01-20,0.6
2020-01-21,4.1
2020-01-22,9.0
2020-01-23,0.9
2020-01-24,4.5
2020-01-25,6.6
2020-01-26,6.1
2020-01-27,0.7
2020-01-28,1.5
2020-01-29,1.1
2020-01-30,T
2020-01-31,0.0
2020-02-01,0.6
2020-02-02,T
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,T
2020-02-09,T
2020-02-10,1.1
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,T
2020-02-14,-887.3
2020-02-15,T
2020-02-16,1.7
2020-02-17,-884.0
2020-02-18,-887.7
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.5
2020-02-22,8.5
2020-02-23,0.3
2020-02-24,0.0
2020-02-25,T
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,2.8
2020-02-29,1.1
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.3
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.9
2020-03-07,-887.1
2020-03-08,3.0
2020-03-09,T
2020-03-10,T
2020-03-11,0.0
2020-03-12,18.5
2020-03-13,-887.7
2020-03-14,T
2020-03-15,1.3
2020-03-16,1.0
2020-03-17,6.7
2020-03-18,S/D
2020-03-19,S/D
2020-03-20,S/D
2020-03-21,S/D
2020-03-22,S/D
2020-03-23,S/D
2020-03-24,S/D
2020-03-25,S/D
2020-03-26,S/D
2020-03-27,S/D
2020-03-28,S/D
2020-03-29,S/D
2020-03-30,S/D
2020-03-31,S/D
2020-04-01,S/D
2020-04-02,S/D
2020-04-03,S/D
2020-04-04,S/D
2020-04-05,S/D
2020-04-06,S/D
2020-04-07,S/D
2020-04-08,S/D
2020-04-09,S/D
2020-04-10,S/D
2020-04-11,S/D
2020-04-12,S/D
2020-04-13,S/D
2020-04-14,S/D
2020-04-15,S/D
2020-04-16,S/D
2020-04-17,S/D
2020-04-18,S/D
2020-04-19,S/D
2020-04-20,S/D
2020-04-21,S/D
2020-04-22,S/D
2020-04-23,S/D
2020-04-24,S/D
2020-04-25,S/D
2020-04-26,S/D
2020-04-27,S/D
2020-04-28,S/D
2020-04-29,S/D
2020-04-30,S/D
2020-05-01,S/D
2020-05-02,S/D
2020-05-03,S/D
2020-05-04,S/D
2020-05-05,S/D
2020-05-06,S/D
2020-05-07,S/D
2020-05-08,S/D
2020-05-09,S/D
2020-05-10,S/D
2020-05-11,S/D
2020-05-12,S/D
2020-05-13,S/D
2020-05-14,S/D
2020-05-15,S/D
2020-05-16,S/D
2020-05-17,S/D
2020-05-18,S/D
2020-05-19,S/D
2020-05-20,S/D
2020-05-21,S/D
2020-05-22,S/D
2020-05-23,S/D
2020-05-24,S/D
2020-05-25,S/D
2020-05-26,S/D
2020-05-27,S/D
2020-05-28,S/D
2020-05-29,S/D
2020-05-30,S/D
2020-05-31,S/D
2020-06-01,S/D
2020-06-02,S/D
2020-06-03,S/D
2020-06-04,S/D
2020-06-05,S/D
2020-06-06,S/D
2020-06-07,S/D
2020-06-08,S/D
2020-06-09,S/D
2020-06-10,S/D
2020-06-11,S/D
2020-06-12,S/D
2020-06-13,S/D
2020-06-14,S/D
2020-06-15,S/D
2020-06-16,S/D
2020-06-17,S/D
2020-06-18,S/D
2020-06-19,S/D
2020-06-20,S/D
2020-06-21,S/D
2020-06-22,S/D
2020-06-23,S/D
2020-06-24,S/D
2020-06-25,S/D
2020-06-26,S/D
2020-06-27,S/D
2020-06-28,S/D
2020-06-29,S/D
2020-06-30,S/D
2020-07-01,S/D
2020-07-02,S/D
2020-07-03,S/D
2020-07-04,S/D
2020-07-05,S/D
2020-07-06,S/D
2020-07-07,S/D
2020-07-08,S/D
2020-07-09,S/D
2020-07-10,S/D
2020-07-11,S/D
2020-07-12,S/D
2020-07-13,S/D
2020-07-14,S/D
2020-07-15,S/D
2020-07-16,S/D
2020-07-17,S/D
2020-07-18,S/D
2020-07-19,S/D
2020-07-20,S/D
2020-07-21,S/D
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,0.0
2020-07-27,0.0
2020-07-28,0.0
